id,words
33770,bad
33527,worst
33424,the_worst
33764,great
33212,waste
33339,awful
33326,terrible
33417,excellent
33248,worse
33305,wonderful
33372,boring
33791,no
33353,stupid
32464,waste_of
33562,a_great
33715,best
33556,minutes
33614,the_best
33651,nothing
33394,poor
33144,horrible
33195,t_even
33811,just
32970,crap
33792,is_a
32551,so_bad
33719,acting
33789,even
33591,the_only
33723,love
33225,supposed
32874,ridiculous
33722,plot
32479,poorly
33295,perfect
33146,supposed_to
33558,script
33413,at_all
32482,lame
33429,beautiful
33243,loved
33094,favorite
32387,superb
33143,amazing
32597,avoid
33695,why
32897,annoying
31933,pointless
31099,worst_movie
32221,wasted
33259,oh
32732,not_even
33776,well
33103,brilliant
33465,money
33720,life
32588,fantastic
32316,mess
33565,least
31520,laughable
33737,any
31696,a_must
33797,very
33033,a_bad
30700,waste_time
30861,bad_acting
33761,also
32665,dull
33751,don_t
31664,must_see
32366,badly
33807,if
32803,cheap
33135,today
31074,a_waste
33740,could
30422,t_waste
33443,instead
32137,an_excellent
33757,don
33750,one_of
31921,pathetic
33274,couldn
33275,couldn_t
33676,thing
33470,reason
33502,at_least
33554,2
32440,unless
31827,bad_it
33813,there
33821,his
33814,like
33050,highly
33519,the_acting
33442,1
30901,really_bad
33603,both
33704,as_the
33709,off
33540,performance
29480,avoid_this
33215,4
32610,looks_like
31859,garbage
31969,a_wonderful
31651,beautifully
33170,unfortunately
32310,minutes_of
32216,fails
32693,very_well
32008,than_this
33549,anything
33812,or
32656,sorry
33803,this_movie
33395,3
33184,guess
33783,only
33388,could_have
30439,how_bad
33105,enjoyed
33582,always
33347,performances
33820,they
30631,redeeming
33663,didn_t
33664,didn
28860,worst_movies
33255,the_script
29489,8_10
33467,looks
32374,perfectly
30724,boring_and
33504,like_a
32091,is_great
29905,well_worth
28955,highly_recommended
33785,to_be
33744,make
31415,outstanding
33774,it_is
30786,worse_than
32297,powerful
33662,years
30553,sit_through
33816,so
30007,this_piece
28622,worst_film
29925,even_worse
33788,would
32378,none_of
31474,touching
32736,predictable
30571,wonderfully
33544,a_very
33659,have_been
30888,whatsoever
30537,no_sense
31393,bad_movie
30156,10_10
33510,especially
33454,movie_was
29580,not_worth
33285,definitely
33363,low
33616,young
30288,highly_recommend
32988,ok
32973,save
33058,decent
33686,m
30589,is_excellent
32797,of_time
29156,7_10
33634,world
33563,the_plot
29709,not_funny
33484,is_one
32993,strong
33703,better
28116,3_10
33508,would_have
32467,bunch_of
32776,7
29915,unfunny
33478,different
32333,on_dvd
28710,4_10
33745,then
31444,excuse
32306,dumb
32289,joke
33589,to_make
32711,enjoyable
31458,painful
32948,story_of
28397,only_good
31149,gem
29598,underrated
